Title,Mark,Unit,TimeFrequency
Beta,beta,None,other
Book Value,book-value,None,quarterly
Cash and Equivalents (Quartely),cash-equivalents-quarterly,$,quarterly
Cash From Financing (Quarterly),cash-from-financing-quarterly,$,quarterly
Cash From Financing (TTM),cash-from-financing-ttm,$,quarterly
Cash From Investing (Quarterly),cash-from-investing-quarterly,$,quarterly
Cash From Investing (TTM),cash-from-investing-ttm,$,quarterly
Cash From Operations (Quarterly),cash-from-operations-quarterly,$,quarterly
Cash From Operations (TTM),cash-from-operations-ttm,$,quarterly
Debt to Equity ratio (Quarterly),debt-equity-ratio-quarterly,None,quarterly
Dividend (TTM),dividend-ttm,None,other
Dividend Yeld (TTM),dividend-yield-ttm,None,other
Earnings Yeld (TTM),earnings-yield-ttm,None,other
Enterprise Value,enterprise-value,None,other
Eps diluted (Quarterly),eps-diluted-quarterly,$,quarterly
Eps diluted (TTM),eps-diluted-ttm,$,quarterly
Free Cash Flow (Quarterly),free-cash-flow-quarterly,$,quarterly
Free Cash Flow (TTM),free-cash-flow-ttm,$,quarterly
Gross Margin (TTM),gross-margin-ttm,None,quarterly
Gross Profit (TTM),gross-profit-ttm,$,quarterly
Market Cap,market-cap,None,other
Net Income (Quarterly),net-income-quarterly,$,quarterly
Net Income (TTM),net-income-ttm,$,quarterly
P/E ratio (TTM),pe-ratio-ttm,None,other
PEG ratio (TTM),peg-ratio-ttm,None,other
Price to Book Value,price-book-value,None,other
Profit Margin,profit-margin-quarterly,None,quarterly
PS ratio (TTM),ps-ratio-ttm,None,other
Returns on Assets (TTM),return-on-assets-ttm,None,quarterly
Returns on Equities (TTM),return-on-equity-ttm,None,quarterly
Revenue (Quarterly),revenue-quarterly,$,quarterly
Revenue (TTM),revenue-ttm,$,quarterly
Shareholers Equity (Quarterly),shareholders-equity-quarterly,$,quarterly
Total Assets (Quarterly),total-assets-quarterly,$,quarterly
Total Expenses (Quarterly),total-expenses-quarterly,None,quarterly
Total Expenses (TTM),total-expenses-ttm,None,quarterly
Total Liabilities (Quarterly),total-liabilities,$,quarterly
Total Long Term Debt (Quarterly),total-long-term-debt-quarterly,$,quarterly